Entity,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Libya,LBY,70.852,71.038,71.244,71.466,71.693,71.902,72.063,72.155,72.174,72.129,72.044,71.956,71.901,71.907,71.981,72.121,72.311,72.52,72.724,72.913
Liechtenstein,LIE,78.582,79.001,79.43,79.853,80.256,80.621,80.938,81.204,81.421,81.589,81.714,81.801,81.865,81.919,81.973,82.039,82.124,82.228,82.351,82.494
Lithuania,LTU,70.967,71.205,71.392,71.527,71.619,71.692,71.784,71.929,72.15,72.451,72.826,73.256,73.706,74.145,74.556,74.923,75.238,75.507,75.737,75.933
Luxembourg,LUX,77.652,77.91,78.161,78.406,78.645,78.888,79.145,79.421,79.718,80.032,80.352,80.664,80.955,81.215,81.442,81.636,81.803,81.955,82.102,82.25
Macao,MAC,80.407,80.645,80.87,81.089,81.304,81.523,81.748,81.981,82.22,82.462,82.704,82.938,83.158,83.361,83.543,83.707,83.854,83.989,84.118,84.244
Madagascar,MDG,58.485,59.129,59.717,60.256,60.752,61.212,61.65,62.079,62.509,62.944,63.388,63.836,64.28,64.713,65.133,65.539,65.931,66.311,66.681,67.041
Malawi,MWI,45.09,45.204,45.517,46.052,46.823,47.844,49.118,50.595,52.206,53.888,55.564,57.161,58.629,59.931,61.042,61.953,62.681,63.279,63.798,64.263
Malaysia,MYS,72.594,72.782,72.976,73.17,73.364,73.555,73.744,73.931,74.118,74.305,74.493,74.683,74.877,75.072,75.268,75.461,75.649,75.828,75.997,76.156
Maldives,MDV,70.173,70.964,71.708,72.399,73.034,73.612,74.138,74.621,75.073,75.499,75.905,76.293,76.664,77.018,77.36,77.691,78.013,78.325,78.627,78.921
Mali,MLI,48.069,48.758,49.54,50.373,51.224,52.057,52.839,53.553,54.193,54.756,55.251,55.701,56.135,56.578,57.036,57.509,57.987,58.452,58.893,59.306
Malta,MLT,79.05,79.217,79.38,79.539,79.697,79.861,80.036,80.225,80.428,80.644,80.868,81.094,81.314,81.522,81.716,81.896,82.063,82.221,82.376,82.53
Marshall Islands,MHL,68.423,68.763,69.075,69.374,69.668,69.962,70.256,70.548,70.836,71.121,71.403,71.686,71.968,72.247,72.523,72.789,73.042,73.278,73.496,73.696
Martinique,MTQ,78.197,78.502,78.792,79.065,79.321,79.562,79.791,80.013,80.23,80.447,80.664,80.883,81.103,81.322,81.539,81.753,81.962,82.164,82.359,82.545
Mauritania,MRT,60.706,60.788,60.892,61.018,61.17,61.349,61.552,61.776,62.015,62.266,62.527,62.799,63.079,63.366,63.654,63.936,64.208,64.464,64.704,64.925
Mauritius,MUS,71.2,71.51,71.806,72.062,72.272,72.446,72.606,72.777,72.977,73.208,73.46,73.718,73.96,74.173,74.352,74.5,74.626,74.743,74.863,74.991
Mayotte,MYT,75.686,76.004,76.318,76.626,76.929,77.232,77.541,77.854,78.169,78.475,78.758,78.997,79.181,79.308,79.379,79.408,79.409,79.405,79.417,79.455
Mexico,MEX,74.34,74.658,74.922,75.118,75.243,75.3,75.296,75.255,75.194,75.128,75.065,75.011,74.966,74.93,74.908,74.904,74.917,74.947,74.992,75.054
Micronesia (country),FSM,64.55,64.71,64.888,65.08,65.282,65.489,65.697,65.901,66.099,66.29,66.471,66.646,66.817,66.986,67.152,67.315,67.471,67.618,67.755,67.883
Moldova,MDA,67.006,67.185,67.362,67.521,67.665,67.82,68.022,68.302,68.671,69.119,69.616,70.119,70.581,70.968,71.267,71.478,71.617,71.717,71.808,71.901
Monaco,MCO,80.929,81.676,82.337,82.867,83.253,83.503,83.649,83.752,83.865,84.01,84.207,84.462,84.758,85.077,85.41,85.739,86.049,86.325,86.56,86.751
Mongolia,MNG,62.869,63.319,63.777,64.23,64.671,65.103,65.538,65.985,66.447,66.916,67.38,67.818,68.217,68.566,68.863,69.111,69.321,69.509,69.689,69.87
Montenegro,MNE,73.228,73.233,73.285,73.37,73.486,73.642,73.85,74.115,74.43,74.784,75.151,75.505,75.823,76.089,76.297,76.452,76.568,76.667,76.77,76.884
Montserrat,MSR,72.658,72.505,72.391,72.316,72.282,72.295,72.356,72.459,72.597,72.766,72.969,73.214,73.496,73.797,74.093,74.339,74.483,74.501,74.388,74.158
Morocco,MAR,68.684,69.193,69.769,70.399,71.067,71.746,72.403,73.009,73.546,74.003,74.382,74.696,74.97,75.227,75.477,75.726,75.974,76.218,76.453,76.68
Mozambique,MOZ,48.946,49.295,49.61,49.889,50.143,50.387,50.641,50.934,51.292,51.738,52.31,53.043,53.931,54.949,56.062,57.206,58.309,59.309,60.163,60.854
Myanmar,MMR,60.063,60.377,60.685,60.989,61.294,61.607,61.938,62.294,62.678,63.089,63.525,63.983,64.453,64.921,65.378,65.81,66.205,66.558,66.867,67.134
Namibia,NAM,52.192,51.399,50.862,50.589,50.6,50.931,51.609,52.593,53.817,55.207,56.665,58.085,59.387,60.513,61.425,62.119,62.625,63.021,63.373,63.708
Nauru,NRU,58.954,59.039,59.043,58.962,58.811,58.634,58.488,58.421,58.463,58.616,58.852,59.126,59.38,59.574,59.698,59.758,59.781,59.805,59.863,59.962
Nepal,NPL,62.288,62.945,63.57,64.165,64.729,65.264,65.773,66.26,66.727,67.178,67.611,68.028,68.426,68.806,69.168,69.515,69.848,70.169,70.478,70.778
Netherlands,NLD,78.187,78.373,78.59,78.837,79.11,79.401,79.702,80.001,80.287,80.554,80.797,81.015,81.212,81.392,81.559,81.715,81.862,82.004,82.143,82.283
New Caledonia,NCL,73.52,73.762,73.995,74.221,74.44,74.657,74.874,75.093,75.316,75.541,75.769,75.994,76.215,76.428,76.632,76.827,77.014,77.196,77.374,77.55
New Zealand,NZL,78.324,78.62,78.914,79.2,79.474,79.734,79.981,80.216,80.441,80.656,80.86,81.052,81.233,81.402,81.561,81.713,81.859,82.002,82.145,82.288
Nicaragua,NIC,69.527,69.934,70.308,70.64,70.933,71.195,71.436,71.673,71.915,72.167,72.428,72.692,72.951,73.197,73.429,73.649,73.86,74.068,74.275,74.485
Niger,NER,49.928,50.584,51.256,51.95,52.668,53.411,54.18,54.968,55.764,56.557,57.333,58.081,58.79,59.455,60.07,60.631,61.137,61.599,62.024,62.42
Nigeria,NGA,46.267,46.51,46.835,47.242,47.72,48.252,48.812,49.373,49.913,50.422,50.896,51.346,51.786,52.228,52.672,53.112,53.541,53.95,54.332,54.687
Niue,NIU,70.593,70.794,70.995,71.195,71.396,71.592,71.782,71.962,72.13,72.287,72.434,72.575,72.712,72.851,72.992,73.135,73.279,73.424,73.567,73.708
North Korea,PRK,65.268,66.087,66.925,67.615,68.102,68.389,68.54,68.675,68.884,69.185,69.571,70.012,70.454,70.853,71.198,71.481,71.711,71.91,72.095,72.274
North Macedonia,MKD,73.267,73.47,73.642,73.781,73.892,73.986,74.08,74.19,74.324,74.484,74.662,74.846,75.019,75.171,75.299,75.406,75.498,75.589,75.688,75.797
Northern America,,77.033,77.191,77.359,77.539,77.73,77.931,78.14,78.352,78.557,78.749,78.916,79.049,79.143,79.2,79.224,79.223,79.21,79.198,79.199,79.221
Northern Mariana Islands,MNP,73.718,73.864,73.937,73.965,73.962,73.939,73.904,73.865,73.836,73.834,73.885,74.014,74.226,74.517,74.876,75.279,75.694,76.089,76.44,76.735
Norway,NOR,78.793,79.01,79.237,79.474,79.72,79.972,80.225,80.475,80.717,80.945,81.156,81.345,81.512,81.66,81.792,81.912,82.029,82.146,82.271,82.404
Oceania,,74.247,74.507,74.776,75.048,75.321,75.591,75.854,76.109,76.355,76.591,76.82,77.043,77.264,77.484,77.704,77.92,78.132,78.336,78.529,78.71
Oman,OMN,72.126,72.58,73.022,73.447,73.851,74.23,74.577,74.893,75.179,75.44,75.682,75.916,76.149,76.388,76.634,76.887,77.142,77.393,77.633,77.861
Pakistan,PAK,62.82,63.066,63.3,63.522,63.736,63.951,64.176,64.42,64.685,64.969,65.264,65.562,65.849,66.117,66.36,66.577,66.77,66.947,67.114,67.273
Palau,PLW,68.335,68.635,68.951,69.271,69.592,69.908,70.218,70.523,70.822,71.116,71.406,71.695,71.984,72.274,72.559,72.834,73.089,73.32,73.524,73.701
Palestine,PSE,71.022,71.239,71.447,71.648,71.842,72.028,72.203,72.366,72.517,72.656,72.788,72.915,73.041,73.17,73.303,73.442,73.589,73.74,73.895,74.053
Panama,PAN,75.06,75.233,75.401,75.565,75.728,75.892,76.06,76.234,76.414,76.6,76.792,76.989,77.188,77.386,77.583,77.776,77.964,78.149,78.329,78.506
Papua New Guinea,PNG,59.265,59.487,59.722,59.974,60.245,60.534,60.836,61.141,61.442,61.739,62.029,62.316,62.604,62.892,63.181,63.466,63.744,64.01,64.263,64.501
Paraguay,PRY,70.546,70.786,71.023,71.249,71.464,71.667,71.862,72.055,72.251,72.45,72.653,72.86,73.068,73.274,73.473,73.662,73.836,73.992,74.131,74.254
Peru,PER,71.111,71.505,71.882,72.24,72.581,72.908,73.222,73.528,73.826,74.12,74.41,74.697,74.981,75.258,75.529,75.792,76.044,76.286,76.516,76.736
Philippines,PHL,68.793,68.835,68.88,68.937,69.013,69.112,69.233,69.37,69.515,69.667,69.823,69.984,70.149,70.315,70.481,70.644,70.802,70.952,71.095,71.231
Poland,POL,73.7,74.052,74.367,74.644,74.884,75.099,75.306,75.523,75.765,76.034,76.33,76.647,76.968,77.282,77.582,77.859,78.11,78.338,78.544,78.73
Portugal,PRT,76.749,77.075,77.413,77.759,78.107,78.451,78.786,79.11,79.421,79.716,79.995,80.26,80.513,80.758,80.995,81.224,81.444,81.655,81.857,82.049
Puerto Rico,PRI,75.828,76.199,76.549,76.871,77.16,77.417,77.653,77.88,78.108,78.34,78.572,78.797,79.006,79.196,79.366,79.52,79.664,79.806,79.952,80.104
Qatar,QAT,77.467,77.612,77.762,77.919,78.083,78.252,78.425,78.601,78.775,78.945,79.108,79.26,79.399,79.527,79.646,79.758,79.868,79.981,80.1,80.227
Reunion,REU,76.077,76.382,76.68,76.97,77.253,77.533,77.815,78.1,78.386,78.669,78.936,79.173,79.371,79.532,79.66,79.775,79.899,80.052,80.247,80.484
Romania,ROU,70.47,70.824,71.194,71.561,71.917,72.262,72.605,72.956,73.322,73.695,74.066,74.42,74.744,75.029,75.272,75.476,75.644,75.79,75.924,76.054
Russia,RUS,65.082,64.995,65.005,65.131,65.38,65.752,66.238,66.807,67.426,68.07,68.715,69.343,69.944,70.508,71.018,71.464,71.835,72.139,72.386,72.584
Rwanda,RWA,48.649,49.936,50.987,52.178,53.595,55.254,57.083,58.915,60.612,62.129,63.433,64.523,65.438,66.219,66.884,67.45,67.93,68.341,68.7,69.024
Saint Barthlemy,,77.112,77.425,77.736,78.043,78.345,78.639,78.919,79.186,79.438,79.677,79.908,80.139,80.374,80.615,80.863,81.114,81.362,81.599,81.82,82.023
Saint Helena,SHN,78.234,78.445,78.627,78.782,78.915,79.035,79.156,79.285,79.427,79.581,79.738,79.882,80.002,80.091,80.154,80.202,80.251,80.321,80.422,80.558
Saint Kitts and Nevis,KNA,70.832,71.375,71.899,72.366,72.758,73.077,73.338,73.573,73.808,74.051,74.305,74.568,74.829,75.078,75.314,75.532,75.73,75.91,76.075,76.226
Saint Lucia,LCA,73.319,73.486,73.648,73.808,73.966,74.122,74.276,74.426,74.571,74.712,74.852,74.993,75.138,75.286,75.44,75.596,75.752,75.907,76.057,76.203
Saint Martin (French part),MAF,76.951,77.273,77.589,77.9,78.206,78.504,78.788,79.058,79.313,79.557,79.794,80.035,80.285,80.546,80.817,81.092,81.364,81.622,81.86,82.076
Saint Pierre and Miquelon,SPM,78.854,78.919,78.974,79.044,79.136,79.255,79.396,79.544,79.688,79.827,79.957,80.077,80.192,80.305,80.418,80.533,80.654,80.783,80.921,81.068
Saint Vincent and the Grenadines,VCT,70.809,70.882,70.977,71.087,71.208,71.331,71.449,71.554,71.643,71.716,71.776,71.827,71.879,71.939,72.01,72.095,72.193,72.3,72.415,72.534
Samoa,WSM,68.748,69.103,69.451,69.781,70.089,70.374,70.642,70.901,71.158,71.412,71.663,71.906,72.136,72.351,72.549,72.73,72.895,73.046,73.187,73.321
San Marino,SMR,81.599,81.827,82.024,82.189,82.322,82.438,82.553,82.684,82.845,83.037,83.257,83.495,83.737,83.968,84.182,84.375,84.545,84.699,84.841,84.972
Sao Tome and Principe,STP,61.365,62.017,62.687,63.359,64.02,64.659,65.27,65.854,66.412,66.938,67.43,67.885,68.306,68.695,69.052,69.377,69.67,69.933,70.17,70.385
Saudi Arabia,SAU,72.561,72.759,72.92,73.051,73.159,73.256,73.355,73.467,73.598,73.75,73.917,74.089,74.254,74.402,74.533,74.651,74.761,74.874,74.998,75.133
Senegal,SEN,57.787,58.177,58.675,59.259,59.912,60.62,61.365,62.126,62.88,63.607,64.284,64.898,65.448,65.939,66.37,66.747,67.078,67.38,67.665,67.941
Serbia,SRB,72.037,72.131,72.256,72.409,72.592,72.803,73.04,73.296,73.562,73.833,74.101,74.364,74.619,74.864,75.095,75.309,75.505,75.684,75.849,76.001
Seychelles,SYC,71.105,71.274,71.466,71.673,71.887,72.099,72.299,72.482,72.644,72.781,72.892,72.976,73.041,73.094,73.139,73.182,73.226,73.276,73.333,73.402
Sierra Leone,SLE,39.441,40.369,41.376,42.419,43.467,44.502,45.517,46.52,47.508,48.468,49.382,50.234,51.018,51.731,52.372,52.941,53.444,53.895,54.309,54.696
Singapore,SGP,77.969,78.413,78.891,79.372,79.839,80.275,80.667,81.015,81.325,81.595,81.833,82.048,82.254,82.459,82.667,82.877,83.083,83.279,83.458,83.62
Sint Maarten (Dutch part),SXM,75.786,75.935,76.104,76.288,76.485,76.689,76.895,77.097,77.291,77.474,77.643,77.799,77.946,78.086,78.223,78.36,78.5,78.644,78.794,78.951
Slovakia,SVK,73.288,73.497,73.695,73.886,74.074,74.267,74.473,74.698,74.945,75.212,75.493,75.782,76.067,76.34,76.595,76.827,77.034,77.219,77.388,77.542
Slovenia,SVN,75.924,76.219,76.532,76.866,77.22,77.591,77.973,78.355,78.729,79.087,79.421,79.725,80.001,80.25,80.474,80.673,80.852,81.016,81.172,81.324
Solomon Islands,SLB,67.442,67.816,68.175,68.518,68.845,69.158,69.462,69.762,70.063,70.366,70.674,70.985,71.296,71.601,71.896,72.173,72.424,72.645,72.835,72.996
Somalia,SOM,50.869,51.213,51.492,51.762,52.043,52.346,52.669,52.998,53.326,53.654,53.99,54.342,54.713,55.104,55.509,55.92,56.324,56.709,57.068,57.397
South Africa,ZAF,56.048,55.089,54.31,53.749,53.444,53.447,53.795,54.452,55.36,56.46,57.669,58.895,60.06,61.099,61.968,62.649,63.153,63.538,63.857,64.131
South Korea,KOR,76.047,76.499,76.96,77.426,77.892,78.354,78.806,79.243,79.66,80.056,80.432,80.79,81.137,81.472,81.795,82.1,82.379,82.628,82.846,83.033
South Sudan,SSD,49.166,49.592,50.05,50.55,51.095,51.686,52.315,52.96,53.6,54.219,54.8,55.325,55.791,56.2,56.552,56.855,57.12,57.365,57.604,57.846
Spain,ESP,79.329,79.56,79.797,80.041,80.293,80.553,80.821,81.094,81.367,81.638,81.9,82.149,82.384,82.601,82.801,82.981,83.145,83.294,83.433,83.565
Sri Lanka,LKA,71.333,72.233,73.085,73.799,74.337,74.695,74.904,75.037,75.157,75.286,75.439,75.614,75.796,75.974,76.147,76.316,76.482,76.648,76.812,76.978
Sudan,SDN,58.472,58.859,59.258,59.67,60.092,60.525,60.969,61.422,61.879,62.33,62.764,63.171,63.542,63.875,64.169,64.429,64.663,64.881,65.095,65.311
Suriname,SUR,67.822,67.913,68.064,68.28,68.555,68.877,69.227,69.579,69.91,70.209,70.465,70.676,70.851,71.002,71.133,71.249,71.358,71.463,71.57,71.682
Sweden,SWE,79.725,79.893,80.061,80.234,80.411,80.594,80.782,80.97,81.157,81.339,81.514,81.679,81.834,81.98,82.118,82.251,82.382,82.516,82.654,82.797
Switzerland,CHE,79.858,80.118,80.378,80.641,80.905,81.163,81.413,81.65,81.872,82.077,82.269,82.45,82.626,82.799,82.971,83.142,83.31,83.473,83.63,83.779
Syria,SYR,73.11,73.371,73.663,73.967,74.25,74.43,74.412,74.152,73.647,72.938,72.108,71.27,70.55,70.049,69.821,69.908,70.315,70.967,71.779,72.697
Taiwan,TWN,76.041,76.38,76.717,77.039,77.339,77.613,77.863,78.097,78.322,78.54,78.753,78.961,79.164,79.362,79.555,79.743,79.927,80.107,80.283,80.456
Tajikistan,TJK,61.974,62.807,63.653,64.496,65.314,66.08,66.771,67.382,67.911,68.36,68.736,69.055,69.34,69.609,69.874,70.137,70.397,70.647,70.879,71.097
Tanzania,TZA,50.801,51.444,52.142,52.866,53.602,54.349,55.119,55.926,56.777,57.666,58.584,59.525,60.47,61.398,62.288,63.111,63.844,64.479,65.015,65.456
Thailand,THA,70.623,70.832,71.089,71.389,71.728,72.099,72.499,72.916,73.341,73.766,74.184,74.593,74.992,75.378,75.747,76.091,76.403,76.683,76.931,77.15
Timor,TLS,59.002,59.945,60.901,61.888,62.893,63.882,64.803,65.61,66.276,66.796,67.186,67.477,67.72,67.953,68.197,68.459,68.735,69.007,69.26,69.495
Togo,TGO,53.491,53.554,53.71,53.938,54.234,54.602,55.052,55.581,56.178,56.818,57.468,58.092,58.661,59.16,59.58,59.927,60.22,60.489,60.76,61.042
Tokelau,TKL,77.803,77.98,78.144,78.304,78.468,78.644,78.839,79.055,79.291,79.543,79.808,80.078,80.344,80.599,80.84,81.065,81.275,81.476,81.67,81.86
Tonga,TON,69.667,69.725,69.771,69.803,69.822,69.836,69.852,69.878,69.921,69.982,70.059,70.148,70.242,70.335,70.427,70.517,70.607,70.701,70.801,70.907
Trinidad and Tobago,TTO,69.413,69.65,69.903,70.164,70.428,70.691,70.952,71.21,71.464,71.71,71.946,72.17,72.382,72.582,72.768,72.941,73.1,73.245,73.38,73.507
Tunisia,TUN,73.172,73.415,73.638,73.842,74.034,74.217,74.391,74.558,74.72,74.88,75.041,75.206,75.376,75.552,75.734,75.922,76.115,76.31,76.505,76.699
Turkey,TUR,70.005,70.56,71.078,71.559,72.004,72.424,72.83,73.235,73.649,74.074,74.507,74.944,75.373,75.784,76.172,76.532,76.86,77.161,77.437,77.691
Turkmenistan,TKM,63.613,63.842,64.101,64.386,64.693,65.017,65.354,65.695,66.031,66.355,66.657,66.928,67.167,67.375,67.552,67.704,67.835,67.956,68.073,68.191
Turks and Caicos Islands,TCA,76.914,77.05,77.167,77.33,77.556,77.841,78.16,78.465,78.724,78.929,79.081,79.191,79.282,79.374,79.475,79.594,79.732,79.884,80.048,80.222
Tuvalu,TUV,61.701,61.793,61.939,62.138,62.391,62.693,63.036,63.404,63.784,64.167,64.551,64.935,65.323,65.711,66.093,66.457,66.791,67.089,67.348,67.567
Uganda,UGA,46.229,47.22,48.299,49.421,50.554,51.676,52.784,53.887,54.984,56.06,57.099,58.087,59.017,59.881,60.669,61.373,61.986,62.516,62.973,63.368
Ukraine,UKR,67.258,67.267,67.288,67.317,67.361,67.451,67.625,67.909,68.306,68.802,69.361,69.932,70.464,70.918,71.276,71.535,71.711,71.84,71.953,72.065
United Arab Emirates,ARE,74.327,74.544,74.758,74.968,75.174,75.376,75.573,75.767,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.647,77.814,77.972
United Kingdom,GBR,77.761,78.011,78.268,78.529,78.79,79.052,79.316,79.584,79.85,80.11,80.352,80.564,80.739,80.876,80.978,81.052,81.111,81.168,81.236,81.321
United States,USA,76.812,76.962,77.124,77.299,77.486,77.685,77.892,78.101,78.303,78.49,78.652,78.777,78.862,78.909,78.922,78.91,78.885,78.861,78.851,78.862
United States Virgin Islands,VIR,76.623,76.808,76.974,77.124,77.267,77.415,77.587,77.791,78.031,78.305,78.602,78.907,79.2,79.469,79.707,79.914,80.094,80.26,80.421,80.583
Uruguay,URY,74.731,74.939,75.152,75.373,75.599,75.826,76.046,76.251,76.437,76.603,76.75,76.882,77.004,77.124,77.244,77.369,77.498,77.632,77.77,77.911
Uzbekistan,UZB,67.156,67.374,67.613,67.868,68.135,68.407,68.676,68.939,69.193,69.435,69.672,69.91,70.155,70.41,70.671,70.928,71.171,71.388,71.573,71.725
Vanuatu,VUT,67.363,67.583,67.793,67.99,68.176,68.35,68.515,68.672,68.824,68.974,69.123,69.272,69.421,69.57,69.719,69.869,70.021,70.172,70.323,70.474
Vatican,VAT,70.234,70.549,70.853,71.148,71.437,71.721,72.004,72.286,72.566,72.845,73.12,73.388,73.645,73.891,74.124,74.344,74.551,74.749,74.94,75.125
Venezuela,VEN,72.112,72.294,72.466,72.618,72.746,72.852,72.938,73.01,73.071,73.116,73.134,73.11,73.037,72.918,72.762,72.584,72.405,72.246,72.128,72.064
Vietnam,VNM,73.025,73.228,73.438,73.654,73.875,74.092,74.295,74.474,74.625,74.745,74.837,74.904,74.958,75.006,75.056,75.11,75.172,75.241,75.317,75.4
Wallis and Futuna,WLF,76.653,76.342,76.091,75.963,75.986,76.165,76.48,76.871,77.283,77.69,78.066,78.394,78.677,78.921,79.127,79.3,79.454,79.605,79.767,79.944
Western Sahara,ESH,62.615,63.136,63.646,64.143,64.625,65.094,65.557,66.017,66.475,66.929,67.372,67.797,68.196,68.565,68.904,69.213,69.496,69.762,70.017,70.263
World,OWID_WRL,66.276,66.57,66.885,67.22,67.572,67.941,68.327,68.725,69.13,69.535,69.934,70.32,70.69,71.039,71.364,71.661,71.928,72.169,72.386,72.584
Yemen,YEM,60.683,61.216,61.781,62.358,62.931,63.481,63.997,64.47,64.892,65.255,65.549,65.768,65.92,66.016,66.066,66.085,66.087,66.086,66.096,66.125
Zambia,ZMB,44,44.615,45.4,46.322,47.354,48.496,49.757,51.134,52.606,54.13,55.655,57.126,58.502,59.746,60.831,61.737,62.464,63.043,63.51,63.886
Zimbabwe,ZWE,44.649,44.01,43.523,43.195,43.065,43.241,43.853,44.947,46.504,48.449,50.64,52.896,55.032,56.897,58.41,59.534,60.294,60.812,61.195,61.49
